index,Address,Categories,City,Cuisines,Menu,Restaurants,Zip Code,Province,$,$$$
28141,4346 Bonita Rd,Restaurant,Bonita,"Mediterranean, Spanish, Mexican",Tacos,Romesco,91902,CA,31,50
28491,2880 Center Valley Pkwy,"wich Place,Soup Place,Sandwich Place and Soup Place,Restaurant",Center Valley,"Japanese, Contemporary Asian,Delicatessen",Tacos,Cosi,18034,PA,25,40
29018,248 Holland St,Mexican Restaurant,Somerville,Cafeterias,Tacos,Rudy's Cafe,2144,MA,25,40
29212,70 E Main St,Mexican Restaurant,Bay Shore,Mexican,Tacos,Verde Kitchen & Cocktails,11706,Point O Woods,50,55
29541,1600 S University Dr,"Mexican Restaurant,Caterers,Mexican Restaurants,Bar & Grills,Banquet Halls & Reception Facilities,American Restaurants,Bartending Service,Restaurants,Catering",Fort Worth,"Caterers,Southwestern",Tacos,Blue Mesa Grill,76107,TX,25,40
29606,1101 S Pearl St,"Pub,Bar,Restaurant,Pub and Bar Washington Park West,Pub and Bar",Denver,Gastro Pub,Tacos,Pub On Pearl,80210,CO,25,40
29609,2301 W Roscoe St,"Mexican Restaurant,Restaurant",Chicago,"Breakfast/Brunch, Swedish, Diner",Tacos,M M Que Rico!,60618,IL,7,12
29730,22000 Willamette Dr,"Mexican Restaurant,Mexican Restaurant Bolton,West Linn Restaurants",West Linn,Bars,Tacos,Taco Del Mar,97068,Wankers Corners,0,10
29867,5260 W Mississippi Ave,Mexican Restaurant,Denver,Mexican Restaurants,Tacos,Tamale Kitchen,80226,CO,25,40
30015,2211 Mission St,Restaurant,San Francisco,"Mexican, Vegan, Organic",Tacos,Gracias Madre - Sf,94110,CA,0,30
30144,259 W 42nd St,Restaurant,New York,"Mexican, Mexican / Southwestern, Tex-Mex",Tacos,Chevys Fresh Mex - Times Square,10036,Nyc,0,30
30443,3250 Zanker Rd,"Restaurants,Indian Restaurants,Indian Restaurant,Restaurant,Restaurant North San Jose",San Jose,Indian,Tacos,Curry Up Now,95134,CA,25,40
31737,650 15th St,Restaurant,Denver,American,Tacos,Altitude Restaurant,80202,CO,50,55
32156,10250 Santa Monica Blvd,Restaurant,Los Angeles,"French American, Italian, Mediterranean",Tacos,Breadbar and Mezze Garden - Century City,90067,CA,0,30
32196,2310 SE Delaware Ave,"Mexican Restaurant,Restaurants,Mexican Restaurants",Ankeny,"Mexican,Restaurants",Tacos,Pancheros Mexican Grill,50021,IA,25,40
32287,2455 Ridge Rd,"Mexican Restaurant,Restaurant",Rockwall,Mexican,Tacos,Chiloso Mexican Bistro,75087,TX,0,25
32590,3300 Glendale Blvd,"Mexican Restaurant,Taco Place,Vegetarian / Vegan Restaurant,Restaurant,Latin American Restaurants,Restaurants,Mexican Restaurant, Taco Place, and Vegetarian / Vegan Restaurant Atwater Village,Mexican Restaurants,Mexican Restaurant, Taco Place, and Vegetarian / Vegan Restaurant",Los Angeles,Mexican Restaurants,Tacos,Hugo's Tacos,90039,CA,0,25
32834,244 S Highway 67,Mexican Restaurant,Cedar Hill,Mexican Restaurants,Tacos,Chapa Tacos,75104,TX,0,25
33377,1 Lagrande Blvd,Mexican Restaurant,Lady Lake,Mexican,Tacos,El Ranchito,32159,FL,25,40
33480,1658 Mineral Spring Ave,"Latin American Restaurants,Take Out Restaurants,Caterers,Restaurants,Burrito Place,Bar & Grills,Mexican Restaurants",Providence,Mexican Restaurants,Tacos,Cilantro Mexican Grill,2904,No Providence,0,25
34123,4619 S Kedzie Ave,Restaurant,Chicago,American,Tacos,Carnitas Don Rafa,60632,IL,0,30
34268,715 N Main St,"Mexican Restaurant,Grocers-Ethnic Foods,Take Out Restaurants,Restaurant,Caterers,Restaurants,Mexican & Latin American Grocery Stores,servers,Grocery Stores,food catering,Family Style Restaurants,Mexican Restaurants",Oshkosh,Grocers-Ethnic Foods,Tacos,Lara's Tortilla Flats,54901,WI,25,40
34414,4817 Mission St,"Mexican Restaurant,Burrito Place,Mexican Restaurant and Burrito Place,Latin American Restaurants,Mexican Restaurant and Burrito Place Cayuga,Restaurants,Breakfast Brunch & Lunch Restaurants,,restaurant,Mexican Restaurants,Seafood Restaurants",San Francisco,Latin American Restaurants,Tacos,Taquerias El Farolito,94112,CA,0,25
35684,1208 S University Ave,"Burrito Place,Taco Place,Restaurants,Burrito Place and Taco Place,Burrito Place and Taco Place Downtown Ann Arbor,Mexican Restaurants",Ann Arbor,Mexican Restaurants,Tacos,Pancheros Mexican Grill,48104,MI,0,25
35950,8 Monarch Bay Plz,"Mexican Restaurant,Latin American Restaurants,Restaurants,Mexican Restaurants",Dana Point,Mexican Restaurants,Tacos,Besame Mexican Grill,92629,CA,25,40
36590,2500 Brundage Ln,"Mexican Restaurant,Mexican Foods,Caterers,Restaurants,Take Out,Catering,Mexican Restaurants",Bakersfield,Mexican,Tacos,Los Molcajetes,93304,CA,25,40
36605,13333 South St,Mexican Restaurant,Cerritos,"Mexican, Latin American",Tacos,Amor y Tacos,90703,CA,25,40
36606,13333 South St,Mexican Restaurant,Cerritos,"Mexican, Latin American",Tacos,Amor y Tacos,90703,CA,25,40
36937,1209 E 4th St,Mexican Restaurant,Ontario,Take Out Restaurants,Tacos,Juanita's III,91764,CA,0,25
37645,2820 Greenville Ave,"Restaurants,Community & Civic Organizations,Mexican Restaurant",Dallas,Mexican,Tacos,Quesa-D-Ya's,75206,TX,25,40
38314,660 K St,Restaurant,San Diego,"Californian, Contemporary American, American",Tacos,Soleil @k - San Diego Marriott Gaslamp,92101,CA,31,50
